swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
0.9975,1.0000,434.0895,427.8192,154.037,157.317,-6.16, 4.01,-2.27,-2.15
1.0014,1.0000,427.8192,422.0668,157.317,159.981,-5.61, 3.32,-2.43,-2.29
1.0005,1.0000,422.0668,416.9584,159.981,161.882,-4.92, 2.40,-2.71,-2.52
0.9995,1.0000,416.9584,412.1445,161.882,163.461,-4.94, 2.01,-2.80,-2.92
1.0000,1.0000,412.1445,406.8178,163.461,165.261,-5.39, 2.32,-3.00,-3.07
1.0007,1.0000,406.8178,401.4917,165.261,167.535,-5.22, 2.97,-2.36,-2.25
1.0017,1.0000,401.4917,396.5135,167.535,169.131,-4.93, 2.11,-2.87,-2.82
0.9967,1.0000,396.5135,391.8018,169.131,170.352,-4.62, 1.63,-3.10,-3.00
1.0026,1.0000,391.8018,387.0133,170.352,171.218,-4.99, 1.16,-3.62,-3.83
0.9999,1.0000,387.0133,381.2445,171.218,172.786,-6.05, 2.12,-3.65,-3.93
0.9989,1.0000,381.2445,374.5979,172.786,175.222,-6.85, 3.32,-3.33,-3.53
1.0012,1.0000,374.5979,367.1701,175.222,178.173,-7.61, 4.09,-3.33,-3.52
0.9978,1.0000,367.1701,359.3370,178.173,181.296,-7.78, 4.40,-3.44,-3.38
1.0025,1.0000,359.3370,352.5822,181.296,183.591,-6.37, 3.28,-3.46,-3.08
0.9985,1.0000,352.5822,346.8932,183.591,184.672,-5.47, 1.56,-4.13,-3.91
1.0021,1.0000,346.8932,342.1099,184.672,185.143,-4.53, 0.68,-4.09,-3.85
0.9985,1.0000,342.1099,338.2397,185.143,184.758,-3.67,-0.56,-4.44,-4.22
0.9997,1.0000,338.2397,334.8651,184.758,184.597,-3.30,-0.23,-3.61,-3.53
0.9997,1.0000,334.8651,331.7698,184.597,184.360,-3.03,-0.34,-3.44,-3.37
0.9986,1.0000,331.7698,328.8336,184.360,183.221,-2.94,-1.64,-4.59,-4.58
1.0012,1.0000,328.8336,325.9482,183.221,182.849,-2.86,-0.53,-3.42,-3.39
1.0004,0.9444,325.9482,323.2947,182.849,181.983,-2.68,-1.31,-3.89,-3.99
1.0007,1.0555,323.2947,320.9523,181.983,181.510,-2.10,-0.64,-3.01,-2.74
0.9984,1.0000,320.9523,319.2292,181.510,179.228,-1.61,-3.23,-4.96,-4.83
1.0026,1.0000,319.2292,317.9842,179.228,177.502,-1.12,-2.42,-3.65,-3.54
0.9960,1.0000,317.9842,317.3298,177.502,175.463,-0.46,-2.82,-3.49,-3.28
1.0021,1.0000,317.3298,317.3636,175.463,173.571, 0.23,-2.59,-2.55,-2.36
